walletid,Wallet Create Date,Wallet Create Stage,Movement 202101,Movement 202102,Movement 202103,Movement 202104,Movement 202101 - 202104
GSDk438BjPHbotj4K2S6FkMzH578ccfWXk,20201001,Pre Launch,0.00,0.00,-2 662 076.36,0.00,-2 662 076.36
GU521FfSbgfV4YjT1QViSpf5ixy99EiNBx,20200927,Pre Launch,0.00,0.00,-2 661 109.65,0.00,-2 661 109.65
GYoqMum2XidZoQzYhKMgDPeeuqaECddK8G,20200929,Pre Launch,0.00,0.00,-2 660 766.80,0.00,-2 660 766.80
GJRmoacnHy45zLNeHFFerkWvuq4wLbY6qy,20201001,Pre Launch,0.00,0.00,-2 660 266.95,0.00,-2 660 266.95
GYiUMBEq6WeMa3oGiZfyDugZPkyePkeCED,20200928,Pre Launch,0.00,0.00,-2 659 953.16,0.00,-2 659 953.16
GL25c5X6QckmCXKeZRst21qtFeoip61v6U,20200930,Pre Launch,0.00,0.00,-2 659 789.24,0.00,-2 659 789.24
GboS5vtDGmJRc3tuf5ozSDHWaRnj4EMbzG,20200928,Pre Launch,0.00,0.00,-2 659 376.68,0.00,-2 659 376.68
GagQ5QdEFRT4ymR68F3Z6g7qQJCE1NEHa4,20200929,Pre Launch,0.00,0.00,-2 657 387.66,0.00,-2 657 387.66
GdUMcWmGizbQgftNB2MSKBpcWd8rntG3ju,20200928,Pre Launch,0.00,0.00,-2 657 163.88,0.00,-2 657 163.88
GcuSKdDkd1TMkgHLkRrAfN7R6CinzM2UuT,20200930,Pre Launch,0.00,0.00,-2 656 410.57,0.00,-2 656 410.57
GNHzKyS4XdYwWDP4nPidFk2TWYw7g6uqwv,20200930,Pre Launch,0.00,0.00,-2 656 098.60,0.00,-2 656 098.60
GbUNmnC9SZBmpmLZp76cUBQT9LQ6z8TAed,20200929,Pre Launch,0.00,0.00,-2 654 946.71,0.00,-2 654 946.71
Ge2Eq62CXEehZnkazK997vDkzYazCUp7Uw,20200930,Pre Launch,0.00,0.00,-2 654 710.97,0.00,-2 654 710.97
GZxkShTMP2fTt43NNuQ7XduWefSTay2MgG,20200929,Pre Launch,0.00,0.00,-2 654 649.81,0.00,-2 654 649.81
GbYq8kWELBygpC9Dd43cmJx8U9Jm3b2YYP,20201001,Pre Launch,0.00,0.00,-2 654 329.97,0.00,-2 654 329.97
GRkQD8cHdf5s968VbMQn2G8a3DhBTtXbqt,20200930,Pre Launch,0.00,0.00,-2 653 761.58,0.00,-2 653 761.58
GRyUyyFX7TSvbXVfj9WN5NeGBLGH6af9ix,20200929,Pre Launch,0.00,0.00,-2 653 073.87,0.00,-2 653 073.87
GZPoDMwvQX3MB5Yc2Ac6Cs2b8ja6Kf4vAq,20200929,Pre Launch,0.00,0.00,-2 652 531.27,0.00,-2 652 531.27
GMTQi8hpqHj891AtTM9dgkDtTh4J6VNjEP,20201001,Pre Launch,0.00,0.00,-2 652 450.71,0.00,-2 652 450.71
GJ8vXpEVXQnt5kjAU84vTtCSKuoLPkYFyP,20200928,Pre Launch,0.00,0.00,-2 652 287.32,0.00,-2 652 287.32
GZ9PxoaUSTS9HEBPGY7r9JRbLsaxuBJS5Q,20200929,Pre Launch,0.00,0.00,-2 651 405.13,0.00,-2 651 405.13
GQShp4ma8DHfwDBKe3deKc6kRZd77HA8rG,20200930,Pre Launch,0.00,0.00,-2 651 315.32,0.00,-2 651 315.32
GYJWgXgnuP33AUu6Tph79e235knPmcafS4,20201001,Pre Launch,0.00,0.00,-2 650 719.63,0.00,-2 650 719.63
GUwKSQPN9ZSH6BaR9y79rK25oXinqugz3Z,20201001,Pre Launch,0.00,0.00,-2 650 471.43,0.00,-2 650 471.43
GWa7Arf1LuLm98VVBJgKFgVFJCNQAWX1gn,20201001,Pre Launch,0.00,0.00,-2 649 834.09,0.00,-2 649 834.09
GUHFL4BUsXjJUeH5D32fgMwnFxe4gzqmFY,20200930,Pre Launch,0.00,0.00,-2 649 410.45,0.00,-2 649 410.45
GV9mRkJbnqwQhbAn6rVvS5NEFbhcLcWc72,20200930,Pre Launch,0.00,0.00,-2 649 076.46,0.00,-2 649 076.46
GMy7VZgRsVCUpe5UuM649E86ttBVk83iRg,20200928,Pre Launch,0.00,0.00,-2 648 716.83,0.00,-2 648 716.83
GgV7jKy7VqYtsfh12AG5Eb2tMo1WC6x7bG,20200928,Pre Launch,0.00,0.00,-2 646 480.13,0.00,-2 646 480.13
GcmXbBRz2qFzgvEgs9ZcHd5dBLsbeZRmAa,20200930,Pre Launch,0.00,0.00,-2 645 671.22,0.00,-2 645 671.22
GPDmHwKUupVzPiu7MhaNMyDrcayf22VuxQ,20200930,Pre Launch,0.00,0.00,-2 645 356.83,0.00,-2 645 356.83
GTVYMdow2zspK3GkQoC2JLi6kjAc9WBiFB,20200930,Pre Launch,0.00,0.00,-2 645 292.35,0.00,-2 645 292.35
GL8zNd54fa2ezqnzBWU4yUtpp7yUvXMPxa,20200930,Pre Launch,0.00,0.00,-2 645 178.56,0.00,-2 645 178.56
GM9USEacNdrapV3incasnjbEBL8QhYTpsL,20201001,Pre Launch,0.00,0.00,-2 645 050.97,0.00,-2 645 050.97
GbbBstHa3ii9fxMVoA44UYv1nCga2vtWT2,20200929,Pre Launch,0.00,0.00,-2 644 701.83,0.00,-2 644 701.83
GLXmenk455mib7wXSci2rBJfE7pDHiR33Y,20201001,Pre Launch,0.00,0.00,-2 644 473.77,0.00,-2 644 473.77
GXc6AdEJXtfAry4H1a8dqCwK5NGhLSrKN8,20200929,Pre Launch,0.00,0.00,-2 644 472.11,0.00,-2 644 472.11
GJ3sFRm1RpmzzhLo8NLTUFWhFupmBYXE5C,20200930,Pre Launch,0.00,0.00,-2 644 290.93,0.00,-2 644 290.93
GKtdaxKKU2WsCKFiu7EMiBAJYiwLmtm5tq,20200930,Pre Launch,0.00,0.00,-2 643 095.49,0.00,-2 643 095.49
GcVVzNLKxwgZ5fxmx8ueK1TgQv79s28eiB,20200930,Pre Launch,0.00,0.00,-2 641 823.72,0.00,-2 641 823.72
